SL. NO.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN,SEX
38,Andhra Pradesh,Tirupati ,Varaprasad Rao Velagapalli,SC,SC,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,37425,MALE
39,Andhra Pradesh,Vijayawada,Kesineni Srinivas (Nani),GEN,GEN,Telugu Desam,Bicycle,74714,MALE
40,Andhra Pradesh,Visakhapatnam,Kambhampati Hari Babu,GEN,GEN,Bharatiya Janata Party,Lotus,90488,MALE
41,Andhra Pradesh,Vizianagaram,Ashok Gajapathi Raju Pusapati,GEN,GEN,Telugu Desam,Bicycle,106911,MALE
42,Andhra Pradesh,Warangal,Kadiyam Srihari,SC,SC,Telangana Rashtra Samithi,Car,392574,MALE
43,Andhra Pradesh,Zahirabad,B.B. Patil,GEN,GEN,Telangana Rashtra Samithi,Car,144631,MALE
44,Arunachal Pradesh,Arunachal East,Ninong Ering,GEN,ST,Indian National Congress,Hand,12478,MALE
45,Arunachal Pradesh,Arunachal West,Kiren Rijiju,GEN,ST,Bharatiya Janata Party,Lotus,41738,MALE
46,Assam,Autonomous District,Biren Singh Engti,ST,ST,Indian National Congress,Hand,24095,MALE
47,Assam,Barpeta,Siraj Uddin Ajmal,GEN,GEN,All India United Democratic Front,Lock and Key,42341,MALE
48,Assam,Dhubri,Badruddin Ajmal,GEN,GEN,All India United Democratic Front,Lock and Key,229730,MALE
49,Assam,Dibrugarh,Rameswar Teli,GEN,GEN,Bharatiya Janata Party,Lotus,185347,MALE
50,Assam,Gauhati,Bijoya Chakravarty,GEN,GEN,Bharatiya Janata Party,Lotus,315784,FEMALE
51,Assam,Jorhat,Kamakhya Prasad Tasa,GEN,GEN,Bharatiya Janata Party,Lotus,102420,MALE
52,Assam,Kaliabor,Gourav Gogoi,GEN,GEN,Indian National Congress,Hand,93874,MALE
53,Assam,Karimganj ,Radheshyam Biswas,SC,SC,All India United Democratic Front,Lock and Key,102094,MALE
54,Assam,Kokrajhar,Naba Kumar Sarania (Hira),ST,ST,Independent,Battery Torch,355779,MALE
55,Assam,Lakhimpur,Sarbananda Sonowal,GEN,ST,Bharatiya Janata Party,Lotus,292138,MALE
56,Assam,Mangaldoi,Ramen Deka,GEN,GEN,Bharatiya Janata Party,Lotus,22884,MALE
57,Assam,Nowgong,Rajen Gohain ,GEN,GEN,Bharatiya Janata Party,Lotus,143559,MALE
58,Assam,Silchar,Sushmita Dev  ,GEN,GEN,Indian National Congress,Hand,35241,FEMALE
59,Assam,Tezpur,Ram Prasad Sarmah,GEN,GEN,Bharatiya Janata Party,Lotus,86020,MALE
60,Bihar,Araria,Tasleem Uddin,GEN,GEN,Rashtriya Janata Dal,Hurricane Lamp,146504,MALE
61,Bihar,Arrah,Raj Kumar Singh,GEN,GEN,Bharatiya Janata Party,Lotus,135870,MALE
62,Bihar,Aurangabad,Sushil Kumar Singh,GEN,GEN,Bharatiya Janata Party,Lotus,66347,MALE
63,Bihar,Banka,Jai Prakash Narayan Yadav,GEN,GEN,Rashtriya Janata Dal,Hurricane Lamp,10144,MALE
64,Bihar,Begusarai,Bhola Singh,GEN,GEN,Bharatiya Janata Party,Lotus,58335,MALE
65,Bihar,Bhagalpur,Shailesh Kumar Urph Bulo Mandal,GEN,GEN,Rashtriya Janata Dal,Hurricane Lamp,9485,MALE
66,Bihar,Buxar,Ashwini Kumar Choubey,GEN,GEN,Bharatiya Janata Party,Lotus,132338,MALE
67,Bihar,Darbhanga,Kirti Azad,GEN,GEN,Bharatiya Janata Party,Lotus,35043,MALE
68,Bihar,Gaya (Sc),Hari Manjhi,SC,SC,Bharatiya Janata Party,Lotus,115504,MALE
69,Bihar,Gopalganj (Sc),Janak Ram,SC,SC,Bharatiya Janata Party,Lotus,286936,MALE
70,Bihar,Hajipur (Sc),Ramvilas Paswan,SC,SC,Lok Jan Shakti Party,Bungalow,225500,MALE
71,Bihar,Jahanabad,Dr. Arun Kumar,GEN,GEN,Rashtriya Lok Samta Party,Ceiling Fan,42340,MALE
72,Bihar,Jamui (Sc),Chirag Kumar Paswan,SC,SC,Lok Jan Shakti Party,Bungalow,85947,MALE
73,Bihar,Jhanjharpur,Birendra Kumar Chaudhary,GEN,GEN,Bharatiya Janata Party,Lotus,55408,MALE
74,Bihar,Karakat,Upendra Kushwaha,GEN,GEN,Rashtriya Lok Samta Party,Ceiling Fan,105241,MALE
75,Bihar,Katihar,Tariq Anwar,GEN,GEN,Nationalist Congress Party,Clock,114740,MALE
76,Bihar,Khagaria,Choudhary Mahboob Ali Kaiser,GEN,GEN,Lok Jan Shakti Party,Bungalow,76003,MALE
77,Bihar,Kishanganj,Mohammad Asrarul Haque,GEN,GEN,Indian National Congress,Hand,194612,MALE
78,Bihar,Madhepura,Rajesh Ranjan @ Pappu Yadav,GEN,GEN,Rashtriya Janata Dal,Hurricane Lamp,56209,MALE
79,Bihar,Madhubani,Hukm Deo Narayan Yadav,GEN,GEN,Bharatiya Janata Party,Lotus,20535,MALE
80,Bihar,Maharajganj,"Janardan Singh ""sigriwal""",GEN,GEN,Bharatiya Janata Party,Lotus,38415,MALE
81,Bihar,Munger,Veena Devi,GEN,GEN,Lok Jan Shakti Party,Bungalow,109084,FEMALE
82,Bihar,Muzaffarpur,Ajay Nishad,GEN,GEN,Bharatiya Janata Party,Lotus,222422,MALE
83,Bihar,Nalanda,Kaushlendra Kumar,GEN,GEN,Janata Dal  (United),Arrow,9627,MALE
84,Bihar,Nawada,Giriraj Singh,GEN,GEN,Bharatiya Janata Party,Lotus,140157,MALE
85,Bihar,Paschim Champaran,Dr. Sanjay Jaiswal,GEN,GEN,Bharatiya Janata Party,Lotus,110254,MALE
86,Bihar,Pataliputra,Ram Kripal Yadav,GEN,GEN,Bharatiya Janata Party,Lotus,40322,MALE
87,Bihar,Patna Sahib,Shatrughana Sinha,GEN,GEN,Bharatiya Janata Party,Lotus,265805,MALE
88,Bihar,Purnia,Santosh Kumar,GEN,GEN,Janata Dal  (United),Arrow,116669,MALE
89,Bihar,Purvi Champaran,Radha Mohan Singh,GEN,GEN,Bharatiya Janata Party,Lotus,192163,MALE
90,Bihar,Samastipur (Sc),Ram Chandra Paswan,SC,SC,Lok Jan Shakti Party,Bungalow,6872,MALE
91,Bihar,Saran,Rajiv Pratap Rudy,GEN,GEN,Bharatiya Janata Party,Lotus,40948,MALE
92,Bihar,Sasaram (Sc),Chhedi Paswan,SC,SC,Bharatiya Janata Party,Lotus,63327,MALE
93,Bihar,Sheohar,Rama Devi,GEN,GEN,Bharatiya Janata Party,Lotus,136239,FEMALE
94,Bihar,Sitamarhi,Ram Kumar Sharma,GEN,GEN,Rashtriya Lok Samta Party,Ceiling Fan,147965,MALE
95,Bihar,Siwan,Om Prakash Yadav,GEN,GEN,Bharatiya Janata Party,Lotus,113847,MALE
96,Bihar,Supaul,Ranjeet Ranjan,GEN,GEN,Indian National Congress,Hand,59672,FEMALE
97,Bihar,Ujiarpur,Nityanand Rai,GEN,GEN,Bharatiya Janata Party,Lotus,60469,MALE
98,Bihar,Vaishali,Rama Kishore Singh,GEN,GEN,Lok Jan Shakti Party,Bungalow,99267,MALE
99,Bihar,Valmiki Nagar,Satish Chandra Dubey,GEN,GEN,Bharatiya Janata Party,Lotus,117795,MALE
100,Chandigarh,Chandigarh,Kirron Kher ,GEN,GEN,Bharatiya Janata Party,Lotus,69642,FEMALE
101,Chhattisgarh,Bastar,Dinesh Kashyap,ST,ST,Bharatiya Janata Party,Lotus,124359,
102,Chhattisgarh,Bilaspur,Lakhan Lal Sahu,GEN,GEN,Bharatiya Janata Party,Lotus,176436,
103,Chhattisgarh,Durg,Tamradhwaj Sahu,GEN,GEN,Indian National Congress,Hand,16848,
104,Chhattisgarh,Janjgir-Champa,Kamla Patle,SC,SC,Bharatiya Janata Party,Lotus,174961,
105,Chhattisgarh,Kanker,Vikram  Usendi,ST,ST,Bharatiya Janata Party,Lotus,35158,
106,Chhattisgarh,Korba,Dr. Banshilal Mahto,GEN,GEN,Bharatiya Janata Party,Lotus,4265,
107,Chhattisgarh,Mahasamund,Chandu Lal Sahu (Chandu Bhaiya),GEN,GEN,Bharatiya Janata Party,Lotus,1217,
108,Chhattisgarh,Raigarh,Vishnu Deo Sai,ST,ST,Bharatiya Janata Party,Lotus,216750,
109,Chhattisgarh,Raipur,Ramesh Bais,GEN,GEN,Bharatiya Janata Party,Lotus,171646,
110,Chhattisgarh,Rajnandgaon,Abhishek Singh,GEN,GEN,Bharatiya Janata Party,Lotus,235911,
111,Chhattisgarh,Sarguja,Kamalbhan Singh Marabi,ST,ST,Bharatiya Janata Party,Lotus,147236,
112,Dadra & Nagar Haveli,Dadar & Nagar Haveli,Patel Natubhai Gomanbhai,ST,ST,Bharatiya Janata Party,Lotus,6214,MALE
113,Daman & Diu,Daman & Diu,Patel Lalubhai Babubhai,GEN,GEN,Bharatiya Janata Party,Lotus,9222,MALE
114,Goa,North Goa,Shripad Yesso Naik,GEN,GEN,Bharatiya Janata Party,Lotus,105599,MALE
115,Goa,South Goa,Adv. Narendra Keshav Sawaikar,GEN,GEN,Bharatiya Janata Party,Lotus,32330,MALE
116,Gujarat,Ahmedabad East,Paresh Rawal,GEN,GEN,Bharatiya Janata Party,Lotus,326633,MALE
117,Gujarat,Ahmedabad West,Dr. Kirit P Solanki,SC,SC,Bharatiya Janata Party,Lotus,320311,MALE
118,Gujarat,Amreli,Kachhadiya Naranbhai Bhikhabhai,GEN,GEN,Bharatiya Janata Party,Lotus,156232,MALE
119,Gujarat,Anand,Dilip Patel,GEN,GEN,Bharatiya Janata Party,Lotus,63426,MALE
120,Gujarat,Banaskantha,Chaudhary Haribhai Parthibhai,GEN,GEN,Bharatiya Janata Party,Lotus,202334,MALE
121,Gujarat,Bardoli,Vasava Parbhubhai Nagarbhai,ST,ST,Bharatiya Janata Party,Lotus,123884,MALE
122,Gujarat,Bharuch,Vasava Mansukhbhai Dhanjibhai,GEN,ST,Bharatiya Janata Party,Lotus,153273,MALE
123,Gujarat,Bhavnagar,Dr. Bharatiben Dhirubhai Shiyal,GEN,GEN,Bharatiya Janata Party,Lotus,295488,FEMALE
124,Gujarat,Chhota Udaipur,Ramsinh Rathwa,ST,ST,Bharatiya Janata Party,Lotus,179729,MALE
125,Gujarat,Dahod,Jasvantsinh Sumanbhai Bhabhor,ST,ST,Bharatiya Janata Party,Lotus,230354,MALE
126,Gujarat,Gandhinagar,L.K.Advani,GEN,GEN,Bharatiya Janata Party,Lotus,483121,MALE
127,Gujarat,Jamnagar,Poonamben Hematbhai Maadam,GEN,GEN,Bharatiya Janata Party,Lotus,175289,FEMALE
128,Gujarat,Junagadh,Chudasama Rajeshbhai Naranbhai,GEN,GEN,Bharatiya Janata Party,Lotus,135832,MALE
129,Gujarat,Kachchh,Chavda Vinod Lakhamashi,SC,SC,Bharatiya Janata Party,Lotus,254482,MALE
130,Gujarat,Kheda,Chauhan Devusinh Jesingbhai (Chauhan Devusinh),GEN,GEN,Bharatiya Janata Party,Lotus,232901,MALE
131,Gujarat,Mahesana,Patel Jayshreeben Kanubhai,GEN,GEN,Bharatiya Janata Party,Lotus,208891,FEMALE
132,Gujarat,Navsari,C. R. Patil,GEN,GEN,Bharatiya Janata Party,Lotus,558116,MALE
133,Gujarat,Panchmahal,Chauhan Prabhatsinh Pratapsinh,GEN,GEN,Bharatiya Janata Party,Lotus,170596,MALE
134,Gujarat,Patan,Liladharbhai Khodaji Vaghela,GEN,GEN,Bharatiya Janata Party,Lotus,138719,MALE
135,Gujarat,Porbandar,Radadiya Vithalbhai  Hansrajbhai,GEN,GEN,Bharatiya Janata Party,Lotus,267971,MALE
136,Gujarat,Rajkot,Kundariya Mohanbhai Kalyanjibhai,GEN,GEN,Bharatiya Janata Party,Lotus,246428,MALE
137,Gujarat,Sabarkantha,Rathod Dipsinh Shankarsinh,GEN,GEN,Bharatiya Janata Party,Lotus,84455,MALE
138,Gujarat,Surat,Darshana Vikram Jardosh,GEN,GEN,Bharatiya Janata Party,Lotus,533190,FEMALE
139,Gujarat,Surendranagar,Fatepara Devajibhai Govindbhai,GEN,GEN,Bharatiya Janata Party,Lotus,202907,MALE
140,Gujarat,Vadodara,Narendra Modi,GEN,GEN,Bharatiya Janata Party,Lotus,570128,MALE
141,Gujarat,Valsad,Dr. K.C.Patel,ST,ST,Bharatiya Janata Party,Lotus,208004,MALE
142,Haryana,Ambala,Rattan Lal Kataria,SC,SC,Bharatiya Janata Party,Lotus,340074,MALE
143,Haryana,Bhiwani-Mahendragarh,Dharambir S/O Bhale Ram,GEN,GEN,Bharatiya Janata Party,Lotus,129394,MALE
144,Haryana,Faridabad,Krishan Pal,GEN,GEN,Bharatiya Janata Party,Lotus,466873,MALE
145,Haryana,Gurgaon,Inderjit Singh Rao,GEN,GEN,Bharatiya Janata Party,Lotus,274722,MALE
146,Haryana,Hisar,Dushyant Chautala,GEN,GEN,Indian National Lok Dal,Spectacles,31847,MALE
147,Haryana,Karnal,Ashwini Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,360147,MALE
148,Haryana,Kurukshetra,Raj Kumar Saini,GEN,GEN,Bharatiya Janata Party,Lotus,129736,MALE
149,Haryana,Rohtak,Deepender Singh Hooda,GEN,GEN,Indian National Congress,Hand,170627,MALE
150,Haryana,Sirsa,Charanjeet Singh Rori,SC,SC,Indian National Lok Dal,Spectacles,115736,MALE
151,Haryana,Sonipat,Ramesh Chander,GEN,GEN,Bharatiya Janata Party,Lotus,77414,MALE
152,Himachal Pradesh,Hamirpur,Anurag Singh Thakur,GEN,GEN,Bharatiya Janata Party,Lotus,98403,MALE
153,Himachal Pradesh,Kangra,Shanta Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,170072,MALE
154,Himachal Pradesh,Mandi,Ram Swaroop Sharma,GEN,GEN,Bharatiya Janata Party,Lotus,39856,MALE
155,Himachal Pradesh,Shimla,Virender Kashyap,SC,SC,Bharatiya Janata Party,Lotus,84187,MALE
156,Jammu & Kashmir,Anantnag,Mehbooba Mufti,GEN,GEN,Jammu & Kashmir Peoples Democratic Party,Ink Pot & Pen,65417,FEMALE
157,Jammu & Kashmir,Baramulla,Muzaffar Hussain Baig,GEN,GEN,Jammu & Kashmir Peoples Democratic Party,Ink Pot & Pen,29219,MALE
158,Jammu & Kashmir,Jammu,Jugal Kishore,GEN,GEN,Bharatiya Janata Party,Lotus,257280,MALE
159,Jammu & Kashmir,Ladakh,Thupstan Chhewang,GEN,ST,Bharatiya Janata Party,Lotus,36,MALE
160,Jammu & Kashmir,Srinagar,Tariq Hameed Karra,GEN,GEN,Jammu & Kashmir Peoples Democratic Party,Ink Pot & Pen,42280,MALE
161,Jammu & Kashmir,Udhampur,Dr. Jitendra Singh,GEN,GEN,Bharatiya Janata Party,Lotus,60976,MALE
162,Jharkhand,Chatra,Sunil Kumar Singh,GEN,GEN,Bharatiya Janata Party,Lotus,178026,MALE
163,Jharkhand,Dhanbad,Pashupati Nath Singh,GEN,GEN,Bharatiya Janata Party,Lotus,292954,MALE
164,Jharkhand,Dumka,Shibu Soren,ST,ST,Jharkhand Mukti Morcha,Bow & Arrow,39030,MALE
165,Jharkhand,Giridih,Ravindra Kumar Pandey,GEN,GEN,Bharatiya Janata Party,Lotus,40313,MALE
166,Jharkhand,Godda,Nishikant Dubey,GEN,GEN,Bharatiya Janata Party,Lotus,60682,MALE
167,Jharkhand,Hazaribagh,Jayant Sinha,GEN,GEN,Bharatiya Janata Party,Lotus,159128,MALE
168,Jharkhand,Jamshedpur,Bidyut Baran Mahato,GEN,GEN,Bharatiya Janata Party,Lotus,99876,MALE
169,Jharkhand,Khunti,Karia Munda,ST,ST,Bharatiya Janata Party,Lotus,92248,MALE
170,Jharkhand,Kodarma,Ravindra Kr. Ray,GEN,GEN,Bharatiya Janata Party,Lotus,98654,MALE
171,Jharkhand,Lohardaga,Sudarshan Bhagat,ST,ST,Bharatiya Janata Party,Lotus,6489,MALE
172,Jharkhand,Palamau,Vishnu Dayal Ram,SC,SC,Bharatiya Janata Party,Lotus,263942,MALE
173,Jharkhand,Rajmahal,Vijay Kumar Hansdak,ST,ST,Jharkhand Mukti Morcha,Bow & Arrow,41337,MALE
174,Jharkhand,Ranchi,Ram Tahal Choudhary,GEN,GEN,Bharatiya Janata Party,Lotus,199303,MALE
175,Jharkhand,Singhbhum,Laxman Giluwa,ST,ST,Bharatiya Janata Party,Lotus,87524,MALE
176,Karnataka,Bagalkot,Gaddigoudar Parvtagouda Chandanagouda,GEN,GEN,Bharatiya Janata Party,Lotus,116560,MALE
177,Karnataka,Bangalore Central,P.C. Mohan,GEN,GEN,Bharatiya Janata Party,Lotus,137500,MALE
178,Karnataka,Bangalore North,D.V Sadananda Gowda,GEN,GEN,Bharatiya Janata Party,Lotus,229764,MALE
179,Karnataka,Bangalore Rural,D K Suresh,GEN,GEN,Indian National Congress,Hand,231480,MALE
180,Karnataka,Bangalore South,Ananth Kumar,GEN,GEN,Bharatiya Janata Party,Lotus,228575,MALE
181,Karnataka,Belgaum,Angadi Suresh Channabasappa,GEN,GEN,Bharatiya Janata Party,Lotus,75860,MALE
182,Karnataka,Bellary,B. Sreeramulu,ST,ST,Bharatiya Janata Party,Lotus,85144,MALE
183,Karnataka,Bidar,Bhagwanth Khuba,GEN,GEN,Bharatiya Janata Party,Lotus,92222,MALE
184,Karnataka,Bijapur,Ramesh Jigajinagi,SC,SC,Bharatiya Janata Party,Lotus,69819,MALE
185,Karnataka,Chamarajanagar,R. Dhruvanarayana,SC,SC,Indian National Congress,Hand,141182,MALE
186,Karnataka,Chikkballapur,M Veerappa Moily,GEN,GEN,Indian National Congress,Hand,9520,MALE
187,Karnataka,Chikkodi,Prakash Babanna Hukkeri,GEN,GEN,Indian National Congress,Hand,3003,MALE
188,Karnataka,Chitradurga,B.N.Chandrappa,SC,SC,Indian National Congress,Hand,101291,MALE
189,Karnataka,Dakshina Kannada,Nalin Kumar Kateel,GEN,GEN,Bharatiya Janata Party,Lotus,143709,MALE
190,Karnataka,Davanagere,G M Siddeshwara,GEN,GEN,Bharatiya Janata Party,Lotus,17607,MALE
191,Karnataka,Dharwad,Pralhad Joshi,GEN,GEN,Bharatiya Janata Party,Lotus,113657,MALE
192,Karnataka,Gulbarga,Mallikarjun Kharge,SC,SC,Indian National Congress,Hand,74733,MALE
193,Karnataka,Hassan,H.D. Devegowda,GEN,GEN,Janata Dal  (Secular),A lady farmer carrying paddy on her head,100462,MALE
194,Karnataka,Haveri,Udasi Shivakumar Channabasappa,GEN,GEN,Bharatiya Janata Party,Lotus,87571,MALE
195,Karnataka,Kolar,K.H.Muniyappa,SC,SC,Indian National Congress,Hand,47850,MALE
196,Karnataka,Koppal,Karadi Sanganna Amarappa,GEN,GEN,Bharatiya Janata Party,Lotus,32414,MALE
197,Karnataka,Mandya,C.S.Puttaraju,GEN,GEN,Janata Dal  (Secular),A lady farmer carrying paddy on her head,5518,MALE
198,Karnataka,Mysore,Prathap Simha,GEN,GEN,Bharatiya Janata Party,Lotus,31608,MALE
199,Karnataka,Raichur,B.V.Nayak,ST,ST,Indian National Congress,Hand,1499,MALE
200,Karnataka,Shimoga,B. S. Yeddyurappa,GEN,GEN,Bharatiya Janata Party,Lotus,363305,MALE
201,Karnataka,Tumkur,Muddahanumegowda.S.P.,GEN,GEN,Indian National Congress,Hand,74041,MALE
202,Karnataka,Udupi Chikmagalur,Shobha Karandlaje,GEN,GEN,Bharatiya Janata Party,Lotus,181643,FEMALE
203,Karnataka,Uttara Kannada,Anantkumar Hegde,GEN,GEN,Bharatiya Janata Party,Lotus,140700,MALE
204,Kerala,Alappuzha,K C Venugopal,GEN,GEN,Indian National Congress,Hand,19407,MALE
205,Kerala,Alathur ,P.K.Biju,SC,SC,Communist Party Of India  (Marxist),"Hammer, Sickle and Star",37312,MALE
206,Kerala,Attingal,Dr.A .Sampath,GEN,GEN,Communist Party Of India  (Marxist),"Hammer, Sickle and Star",69378,MALE
207,Kerala,Chalakudy,Innocent,GEN,GEN,Independent,Pot,13884,MALE
208,Kerala,Ernakulam,Prof. K.V. Thomas,GEN,GEN,Indian National Congress,Hand,87047,MALE
209,Kerala,Idukki,Adv.Joice George,GEN,GEN,Independent,Battery Torch,50542,MALE
210,Kerala,Kannur,P K Sreemathi Teacher,GEN,GEN,Communist Party Of India  (Marxist),"Hammer, Sickle and Star",6566,FEMALE
211,Kerala,Kasaragod,P Karunakaran,GEN,GEN,Communist Party Of India  (Marxist),"Hammer, Sickle and Star",6921,MALE
212,Kerala,Kollam,N.K.Premachandran,GEN,GEN,Revolutionary Socialist Party,Spade & Stoker,37649,MALE
213,Kerala,Kottayam,Jose K. Mani,GEN,GEN,Kerala Congress  (M),Two Leaves,120599,MALE
214,Kerala,Kozhikode,M .K Raghavan,GEN,GEN,Indian National Congress,Hand,16883,MALE
215,Kerala,Malappuram,E. Ahamed,GEN,GEN,Indian Union Muslim League,Ladder,194739,MALE
216,Kerala,Mavelikkara ,Kodikunnil Suresh,SC,SC,Indian National Congress,Hand,32737,MALE
217,Kerala,Palakkad,M B Rajesh,GEN,GEN,Communist Party Of India  (Marxist),"Hammer, Sickle and Star",105300,MALE
218,Kerala,Pathanamthitta,Anto Antony,GEN,GEN,Indian National Congress,Hand,56191,MALE
219,Kerala,Ponnani,E. T. Mohammed Basheer,GEN,GEN,Indian Union Muslim League,Ladder,25410,MALE
220,Kerala,Thiruvananthapuram,Dr. Shashi Tharoor,GEN,GEN,Indian National Congress,Hand,15470,MALE
221,Kerala,Thrissur,C. N. Jayadevan,GEN,GEN,Communist Party Of India,Ears of Corn And Sickle,38227,MALE
222,Kerala,Vadakara,Mullappally Ramachandran,GEN,GEN,Indian National Congress,Hand,3306,MALE
223,Kerala,Wayanad,M I Shanavas,GEN,GEN,Indian National Congress,Hand,20870,MALE
224,Lakshadweep,Lakshadweep,Mohammed Faizal P.P.,ST,ST,Nationalist Congress Party,Clock,1535,MALE
225,Madhya Pradesh,Balaghat,Bodhsingh Bhagat,GEN,GEN,Bharatiya Janata Party,Lotus,96041,MALE
226,Madhya Pradesh,Betul,Jyoti Dhurve,ST,ST,Bharatiya Janata Party,Lotus,328614,FEMALE
227,Madhya Pradesh,Bhind,Dr. Bhagirath Prasad,SC,SC,Bharatiya Janata Party,Lotus,159961,MALE
228,Madhya Pradesh,Bhopal,Alok Sanjar,GEN,GEN,Bharatiya Janata Party,Lotus,370696,MALE
229,Madhya Pradesh,Chhindwara,Kamal Nath,GEN,GEN,Indian National Congress,Hand,116537,MALE
230,Madhya Pradesh,Damoh,Prahalad Singh Patel,GEN,GEN,Bharatiya Janata Party,Lotus,213299,MALE
