SL. NO.,STATE,CONSTITUENCY,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,MARGIN,SEX
1,Andaman & Nicobar Islands,Andaman & Nicobar Islands,Bishnu Pada Ray,GEN,GEN,Bharatiya Janata Party,Lotus,7812,MALE
2,Andhra Pradesh,Adilabad ,Godam Nagesh,ST,ST,Telangana Rashtra Samithi,Car,171290,MALE
3,Andhra Pradesh,Amalapuram ,Dr Pandula Ravindra Babu,SC,SC,Telugu Desam,Bicycle,120576,MALE
4,Andhra Pradesh,Anakapalli,Muttamsetti Srinivasa Rao (Avanthi),GEN,GEN,Telugu Desam,Bicycle,47932,MALE
5,Andhra Pradesh,Anantapur,J.C. Divakar Reddi,GEN,GEN,Telugu Desam,Bicycle,61991,MALE
6,Andhra Pradesh,Aruku ,Kothapalli Geetha,ST,ST,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,91398,FEMALE
7,Andhra Pradesh,Bapatla ,Malyadri Sriram,SC,SC,Telugu Desam,Bicycle,32754,MALE
8,Andhra Pradesh,Bhongir ,Dr. Boora Narsaiah Goud,GEN,GEN,Telangana Rashtra Samithi,Car,30544,MALE
9,Andhra Pradesh,Chelvella,Konda Vishweshwar Reddy,GEN,GEN,Telangana Rashtra Samithi,Car,73023,MALE
10,Andhra Pradesh,Chittoor ,Naramalli Sivaprasad,SC,SC,Telugu Desam,Bicycle,44138,MALE
11,Andhra Pradesh,Eluru ,Maganti Venkateswara Rao (Babu),GEN,GEN,Telugu Desam,Bicycle,101926,MALE
12,Andhra Pradesh,Guntur,Jayadev Galla,GEN,GEN,Telugu Desam,Bicycle,69111,MALE
13,Andhra Pradesh,Hindupur,Kristappa Nimmala,GEN,GEN,Telugu Desam,Bicycle,97325,MALE
14,Andhra Pradesh,Hyderabad,Asaduddin Owaisi,GEN,GEN,All India Majlis-E-Ittehadul Muslimeen,Kite,202454,MALE
15,Andhra Pradesh,Kadapa,Y.S. Avinash Reddy,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,190323,MALE
16,Andhra Pradesh,Kakinada,Thota Narasimham,GEN,GEN,Telugu Desam,Bicycle,3431,MALE
17,Andhra Pradesh,Karimnagar ,Vinod Kumar Boinapally,GEN,GEN,Telangana Rashtra Samithi,Car,204652,MALE
18,Andhra Pradesh,Khammam ,Ponguleti  Srinivasa Reddy,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,12204,MALE
19,Andhra Pradesh,Kurnool,Butta Renuka,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,44131,FEMALE
20,Andhra Pradesh,Machilipatnam ,Konakalla Narayana Rao,GEN,GEN,Telugu Desam,Bicycle,81057,MALE
21,Andhra Pradesh,Mahabubabad  ,Prof. Azmeera Seetaram Naik,ST,ST,Telangana Rashtra Samithi,Car,34992,MALE
22,Andhra Pradesh,Mahbubnagar,Ap Jithender Reddy,GEN,GEN,Telangana Rashtra Samithi,Car,2590,MALE
23,Andhra Pradesh,Malkajgiri,Ch.Malla Reddy,GEN,GEN,Telugu Desam,Bicycle,28166,MALE
24,Andhra Pradesh,Medak,Kalvakuntla Chandrasekhar Rao,GEN,GEN,Telangana Rashtra Samithi,Car,397029,MALE
25,Andhra Pradesh,Nagarkurnool,Yellaiah Nandi,SC,SC,Indian National Congress,Hand,16676,MALE
26,Andhra Pradesh,Nalgonda,Gutha Sukhender Reddy,GEN,GEN,Indian National Congress,Hand,193156,MALE
27,Andhra Pradesh,Nandyal,S.P.Y Reddy,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,105766,MALE
28,Andhra Pradesh,Narasaraopet,Sambasiva Rao Rayapati,GEN,GEN,Telugu Desam,Bicycle,35280,MALE
29,Andhra Pradesh,Narsapuram,Gokaraju Ganga Raju,GEN,GEN,Bharatiya Janata Party,Lotus,85351,MALE
30,Andhra Pradesh,Nellore,Mekapati Rajamohan Reddy,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,13478,MALE
31,Andhra Pradesh,Nizamabad,Kalvakuntla Kavitha,GEN,GEN,Telangana Rashtra Samithi,Car,167184,FEMALE
32,Andhra Pradesh,Ongole ,Y.V.Subba Reddy,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,15559,MALE
33,Andhra Pradesh,Peddapalle ,Balka Suman,SC,SC,Telangana Rashtra Samithi,Car,291158,MALE
34,Andhra Pradesh,Rajahmundry,Murali Mohan Maganti,GEN,GEN,Telugu Desam,Bicycle,167434,MALE
35,Andhra Pradesh,Rajampet,P.V.Midhun Reddy,GEN,GEN,Yuvajana Sramika Rythu Congress Party,Ceiling Fan,174762,MALE
36,Andhra Pradesh,Secundrabad,Bandaru Dattatreya,GEN,GEN,Bharatiya Janata Party,Lotus,254735,MALE
37,Andhra Pradesh,Srikakulam,Rammohan Naidu Kinjarapu,GEN,GEN,Telugu Desam,Bicycle,127692,MALE
