UNNAMED: 0,PARTY NAME,PARTY TYPE,STATE NAME,TOTAL VALID VOTES POLLED IN STATE,TOTAL ELECTORS IN THE STATES,SEAT WON,TOTAL VALID VOTES POLLED BY PARTY,PERCENTAGE OF(%) VALID VOTES POLLED BY PARTY
,Shiromani Akali Dal,S,Punjab,13786378,19608161,4,3636148,26.3749332855954
,Shivsena,S,Maharashtra,48284248,80798823,18,10050652,20.815591867559
,Sikkim Democratic Front,S,Sikkim,304635,370770,1,163698,53.7357821655424
,Telangana Rashtra Samithi,S,Andhra Pradesh,48026634,64934138,11,6736270,14.0261130938304
,Telugu Desam,S,Andhra Pradesh,48026634,64934138,16,14099230,29.3571063089701
,United Democratic Party,S,Meghalaya,1047913,1567241,0,106817,10.1933080322508
,Unrecognised,U,Andaman & Nicobar Islands,188764,269360,0,436,0.230976245470535
,Unrecognised,U,Andhra Pradesh,48026634,64934138,10,15697868,32.6857551582732
,Unrecognised,U,Arunachal Pradesh,590635,759344,0,980,0.165923116645644
,Unrecognised,U,Assam,14938826,18837713,0,95013,0.636013834018818
,Unrecognised,U,Bihar,35304368,63800160,3,2460537,6.96949737210988
,Unrecognised,U,Chandigarh,450349,615214,0,3724,0.826914237624598
,Unrecognised,U,Chhattisgarh,12030690,17664520,0,286870,2.38448501291281
,Unrecognised,U,Dadra & Nagar Haveli,162324,196597,0,348,0.214386042729356
,Unrecognised,U,Goa,806897,1060777,0,5195,0.643824428644548
,Unrecognised,U,Gujarat,25369118,40603104,0,137196,0.540799250490301
,Unrecognised,U,Haryana,11460931,16097233,0,65305,0.569805367469711
,Unrecognised,U,Himachal Pradesh,3069345,4810071,0,2535,0.0825909110901512
,Unrecognised,U,Jammu & Kashmir,3535313,7183129,0,101016,2.85734247575816
,Unrecognised,U,Jharkhand,12792013,20349796,0,1087761,8.50343882546086
,Unrecognised,U,Karnataka,30780980,46209813,0,215963,0.70161183951908
,Unrecognised,U,Kerala,17765332,24326650,0,731054,4.11505960034971
,Unrecognised,U,Madhya Pradesh,29247970,48121301,0,480654,1.64337559153678
,Unrecognised,U,Maharashtra,48284248,80798823,1,3294944,6.82405574588218
,Unrecognised,U,Manipur,1405132,1774369,0,3408,0.24253949095174
,Unrecognised,U,Nagaland,1036214,1182972,0,9695,0.935617546182545
,Unrecognised,U,NCT OF Delhi,8232076,12711164,0,34419,0.41810838481083
,Unrecognised,U,Odisha,21196117,29196045,0,443737,2.0934824996484
,Unrecognised,U,Puducherry,717749,901357,0,804,0.112016874979972
,Unrecognised,U,Punjab,13786378,19608161,0,128832,0.934487651506436
,Unrecognised,U,Rajasthan,26782731,42994657,0,387630,1.44731319595451
,Unrecognised,U,Sikkim,304635,370770,0,121956,40.0334826924024
,Unrecognised,U,Tamil Nadu,40025367,55114867,0,2723146,6.80355035845143
,Unrecognised,U,Tripura,2000046,2388822,0,59328,2.96633177436919
,Unrecognised,U,Uttar Pradesh,80500789,138810557,2,2944443,3.65765731811647
,Unrecognised,U,Uttarakhand,4343847,7127057,0,31833,0.732829678393369
,Unrecognised,U,West Bengal,51060534,62833113,0,827276,1.62018673756918
,Independent,Z,Andaman & Nicobar Islands,188764,269360,0,3511,1.85999449047488
,Independent,Z,Andhra Pradesh,48026634,64934138,0,949666,1.97737363813587
,Independent,Z,Arunachal Pradesh,590635,759344,0,2362,0.399908572976542
,Independent,Z,Assam,14938826,18837713,1,1436900,9.61856038754317
,Independent,Z,Bihar,35304368,63800160,0,1533264,4.3429866808549
,Independent,Z,Chandigarh,450349,615214,0,8496,1.88653688583743
,Independent,Z,Chhattisgarh,12030690,17664520,0,516430,4.29260499605592
,Independent,Z,Dadra & Nagar Haveli,162324,196597,0,2786,1.7163204455287
,Independent,Z,Goa,806897,1060777,0,17152,2.1256740327452
,Independent,Z,Gujarat,25369118,40603104,0,542006,2.13647947871109
,Independent,Z,Haryana,11460931,16097233,0,191278,1.66895691109213
,Independent,Z,Himachal Pradesh,3069345,4810071,0,28507,0.928764931931731
,Independent,Z,Jammu & Kashmir,3535313,7183129,0,223498,6.32187305621878
,Independent,Z,Jharkhand,12792013,20349796,0,426224,3.33195408728869
,Independent,Z,Karnataka,30780980,46209813,0,483513,1.57081743336307
,Independent,Z,Kerala,17765332,24326650,2,2043666,11.5036746850551
,Independent,Z,Madhya Pradesh,29247970,48121301,0,548867,1.87659861522013
,Independent,Z,Maharashtra,48284248,80798823,0,1577114,3.26631161367575
,Independent,Z,Manipur,1405132,1774369,0,43013,3.06113589328262
,Independent,Z,Meghalaya,1047913,1567241,0,180658,17.2397899443942
,Independent,Z,Mizoram,426706,702170,0,204331,47.8856636653808
,Independent,Z,NCT OF Delhi,8232076,12711164,0,261664,3.17859067384703
,Independent,Z,Odisha,21196117,29196045,0,333196,1.57196716738259
,Independent,Z,Puducherry,717749,901357,0,26771,3.72985542299606
,Independent,Z,Punjab,13786378,19608161,0,498039,3.61254420849334
,Independent,Z,Rajasthan,26782731,42994657,0,1806700,6.74576464961695
,Independent,Z,Tamil Nadu,40025367,55114867,0,866317,2.16441987902322
,Independent,Z,Tripura,2000046,2388822,0,17764,0.888179571869847
,Independent,Z,Uttar Pradesh,80500789,138810557,0,1414869,1.75758401572934
,Independent,Z,Uttarakhand,4343847,7127057,0,76158,1.75323854638527
,Independent,Z,West Bengal,51060534,62833113,0,473000,0.926351455705496
